ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10196    0.011    0.000    0.068    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:319(xmax)
    15577    0.007    0.000    0.068    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:229(get_rotation)
     9168    0.033    0.000    0.068    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
    12750    0.017    0.000    0.067    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1765(frozen)
    48825    0.021    0.000    0.066    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:165(convert_xunits)
     3438    0.009    0.000    0.066    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/path.py:351(iter_segments)
     6429    0.020    0.000    0.065    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:204(broadcast_arrays)
   695826    0.063    0.000    0.063    0.000 {method 'append' of 'list' objects}
     2292    0.006    0.000    0.063    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:885(update_from_data_xy)
   601432    0.062    0.000    0.062    0.000 {built-in method _stat.S_ISLNK}
     6429    0.023    0.000    0.061    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/shape_base.py:612(column_stack)
       44    0.000    0.000    0.061    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2298(_get_tick)
    15577    0.021    0.000    0.061    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:1167(_preprocess_math)
       44    0.001    0.000    0.061    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:489(__init__)
    15577    0.052    0.000    0.060    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:39(get_rotation)
     2292    0.013    0.000    0.060    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/polynomial.py:166(roots)
     4584    0.004    0.000    0.060    0.000 <__array_function__ internals>:2(ptp)
    52665    0.060    0.000    0.060    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    14834    0.034    0.000    0.059    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:639(__call__)
       16    0.000    0.000    0.059    0.004 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:4056(__init__)
       16    0.000    0.000    0.059    0.004 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:3989(__init__)
    14834    0.010    0.000    0.059    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:295(set_label1)
     4603    0.046    0.000    0.058    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2764(nonsingular)
    19863    0.024    0.000    0.057    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:148(invalidate)
     6335    0.014    0.000    0.057    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2666(__init__)
    14834    0.009    0.000    0.056    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:308(set_label2)
    23132    0.035    0.000    0.056    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:55(get_hinting_flag)
    21364    0.015    0.000    0.056    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2346(transform_non_affine)
   106450    0.055    0.000    0.055    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:107(__init__)
       11    0.000    0.000    0.054    0.005 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:529(destroy)
   349014    0.054    0.000    0.054    0.000 {function RcParams.__getitem__ at 0x7fa8989a0a60}
      470    0.001    0.000    0.053    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:1086(set)
    57314    0.052    0.000    0.052    0.000 {method 'split' of 'str' objects}
71679/36419    0.042    0.000    0.052    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2334(<lambda>)
     4584    0.010    0.000    0.051    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2490(ptp)
    38401    0.017    0.000    0.051    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:1544(getint_event)
    23132    0.050    0.000    0.050    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
    16044    0.050    0.000    0.050    0.000 {built-in method builtins.round}
    30994    0.041    0.000    0.050    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/contextlib.py:82(__init__)
    14834    0.049    0.000    0.049    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2844(_interval_contains_close)
    24020    0.012    0.000    0.048    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2055(transform)
    46977    0.031    0.000    0.048    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:804(clean)
    49714    0.017    0.000    0.047    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:177(convert_yunits)
     9868    0.024    0.000    0.047    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2253(_check_shape)
    53174    0.022    0.000    0.047    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/figure.py:42(_stale_figure_callback)
     6713    0.027    0.000    0.047    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1982(scale)
     7555    0.044    0.000    0.046    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:536(__setitem__)
     1274    0.002    0.000    0.046    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:216(_get_xy_display)
     2420    0.014    0.000    0.045    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/spines.py:240(_adjust_location)
    44886    0.029    0.000    0.044    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/re.py:289(_compile)
     5924    0.006    0.000    0.044    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:1089(set_position)
     6335    0.004    0.000    0.043    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/markers.py:324(get_transform)
     1210    0.005    0.000    0.043    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axes/_base.py:916(_set_position)
     2292    0.021    0.000    0.043    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/bezier.py:200(__call__)
      282    0.005    0.000    0.042    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/lines.py:269(__init__)
     4584    0.020    0.000    0.041    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:245(_ptp)
    19005    0.011    0.000    0.041    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2143(<lambda>)
    45401    0.040    0.000    0.040    0.000 {method 'getint' of '_tkinter.tkapp' objects}
     4584    0.035    0.000    0.039    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:2030(scale_range)
     2292    0.026    0.000    0.037    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/bezier.py:191(__init__)
    21360    0.010    0.000    0.036    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:1100(set_x)
   283584    0.035    0.000    0.035    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:796(get_animated)
    29383    0.013    0.000    0.035    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:937(set_foreground)
     9846    0.007    0.000    0.035    0.000 <__array_function__ internals>:2(concatenate)
     9168    0.006    0.000    0.034    0.000 <__array_function__ internals>:2(ndim)
    44886    0.034    0.000    0.034    0.000 {method 'match' of 're.Pattern' objects}
     4584    0.004    0.000    0.034    0.000 {method 'sum' of 'numpy.ndarray' objects}
21407/19863    0.029    0.000    0.034    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:158(_invalidate_internal)
    15953    0.021    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1268(is_math_text)
     9868    0.016    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/path.py:193(_update_values)
    12670    0.012    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/lines.py:938(_get_markerfacecolor)
     1146    0.001    0.000    0.032    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1520(transform_path)
    17135    0.007    0.000    0.032    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:747(get_transform)
     6904    0.004    0.000    0.032    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1509(convert_units)
    19427    0.011    0.000    0.031    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/scale.py:118(get_transform)
      513    0.002    0.000    0.031    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:98(_on_timer)
    16236    0.009    0.000    0.031    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2151(transform_non_affine)
   242656    0.031    0.000    0.031    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:189(axes)
      940    0.007    0.000    0.030    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:972(update)
     4584    0.002    0.000    0.030    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:45(_sum)
     1098    0.002    0.000    0.030    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1957(rotate_deg_around)
    12625    0.027    0.000    0.029    0.000 {built-in method builtins.sorted}
    20720    0.009    0.000    0.029    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:1111(set_y)
     2030    0.003    0.000    0.028    0.000 <__array_function__ internals>:2(any)
     2292    0.013    0.000    0.028    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:849(update_from_path)
     1466    0.006    0.000    0.028    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:989(set)
     6904    0.007    0.000    0.028    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/units.py:58(_is_natively_supported)
     4584    0.027    0.000    0.027    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
     6876    0.005    0.000    0.026    0.000 <__array_function__ internals>:2(nonzero)
    37858    0.018    0.000    0.025    0.000 {built-in method builtins.setattr}
    23436    0.013    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/lines.py:1232(set_xdata)
148759/147613    0.024    0.000    0.025    0.000 {built-in method builtins.len}
    15980    0.011    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:279(fix_minus)
    33686    0.020    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2236(_check_in_list)
     6429    0.023    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:183(_broadcast_shape)
    15875    0.005    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/abc.py:96(__instancecheck__)
    23132    0.024    0.000    0.024    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
    39336    0.022    0.000    0.024    0.000 {built-in method builtins.max}
    22476    0.011    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/lines.py:1244(set_ydata)
   166025    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
    50858    0.023    0.000    0.023    0.000 {method 'join' of 'str' objects}
     2030    0.003    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2249(any)
    13755    0.023    0.000    0.023    0.000 {built-in method numpy.arange}
     1210    0.002    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axes/_base.py:867(get_position)
     8628    0.008    0.000    0.023    0.000 {built-in method builtins.all}
    10039    0.018    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:185(set_children)
    54289    0.022    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
    33508    0.016    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:367(get_transform)
      513    0.001    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:1187(_on_timer)
     9168    0.012    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3075(ndim)
     5148    0.019    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:851(set_weight)
    88497    0.021    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1865(get_matrix)
     1210    0.003    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:237(frozen)
     5950    0.004    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1267(__add__)
        2    0.005    0.002    0.021    0.011 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:1316(_findfont_cached)
      513    0.001    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/animation.py:1410(_step)
     4584    0.003    0.000    0.020    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/function_base.py:2189(<listcomp>)
     1146    0.001    0.000    0.020    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1529(transform_path_affine)
      513    0.001    0.000    0.020    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/animation.py:1139(_step)
      188    0.001    0.000    0.019    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:127(__init__)
     1146    0.002    0.000    0.019    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1732(transform_path_affine)
      513    0.001    0.000    0.019    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/animation.py:1164(_draw_next_frame)
    15875    0.012    0.000    0.019    0.000 {built-in method _abc._abc_instancecheck}
       16    0.000    0.000    0.019    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:2783(create_image)
       16    0.000    0.000    0.018    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:2763(_create)
     2292    0.002    0.000    0.018    0.000 <__array_function__ internals>:2(full_like)
     3392    0.007    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
    24194    0.018    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2218(type_name)
       10    0.017    0.002    0.018    0.002 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:90(__init__)
     5336    0.013    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:887(set_size)
    36482    0.012    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1812(_str_equal)
     1048    0.002    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:790(after)
     9347    0.005    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2527(get_matrix)
    68906    0.017    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:971(get_points)
     2199    0.003    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2201(get_ticks_position)
    46977    0.017    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:807(<listcomp>)
     5982    0.004    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2433(composite_transform_factory)
       94    0.000    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1345(_copy_tick_props)
   117571    0.016    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:800(get_size_in_points)
     9837    0.008    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:957(set_joinstyle)
     6876    0.003    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1816(nonzero)
   100918    0.016    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:880(get_agg_filter)
   105459    0.016    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:792(get_visible)
     4584    0.016    0.000    0.016    0.000 {method 'outer' of 'numpy.ufunc' objects}
      605    0.003    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2382(_update_offset_text_position)
    10890    0.012    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:348(intervaly)
     1146    0.002    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/path.py:464(cleaned)
   100918    0.015    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:860(get_rasterized)
     2292    0.004    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/numeric.py:323(full_like)
     9894    0.012    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:339(intervalx)
     2199    0.003    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1878(_get_ticks_position)
     5148    0.007    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:832(set_style)
     1125    0.001    0.000    0.014    0.000 <__array_function__ internals>:2(hstack)
     9837    0.008    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:889(set_capstyle)
     3417    0.002    0.000    0.014    0.000 <__array_function__ internals>:2(atleast_1d)
      752    0.003    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/markers.py:277(set_marker)
     1146    0.002    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:801(null)
    90581    0.013    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:752(get_family)
     1696    0.002    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:433(__enter__)
     3566    0.005    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/spines.py:149(get_patch_transform)
     4584    0.005    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:2069(le)
    11524    0.010    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:867(set_alpha)
    89857    0.013    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:803(get_file)
    46977    0.012    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:857(<listcomp>)
    31906    0.012    0.000    0.012    0.000 {method 'count' of 'str' objects}
     5148    0.010    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:869(set_stretch)
      513    0.001    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/animation.py:1187(_post_draw)
    90581    0.012    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:771(get_variant)
    28906    0.010    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2183(get_affine)
    17859    0.009    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:993(get_hatch_path)
      376    0.001    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:168(update)
      529    0.001    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:244(draw_idle)
    63724    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
    48710    0.012    0.000    0.012    0.000 {built-in method builtins.hasattr}
    90581    0.012    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:764(get_style)
     3495    0.009    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:1485(nametowidget)
    12670    0.007    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:1823(_str_lower_equal)
    90581    0.011    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:777(get_weight)
      525    0.001    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:814(after_idle)
     1125    0.002    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/shape_base.py:286(hstack)
     4584    0.004    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/function_base.py:2169(<listcomp>)
     4584    0.005    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:2076(ge)
      564    0.001    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/markers.py:215(__init__)
     2292    0.009    0.000    0.011    0.000 {built-in method matplotlib._path.update_path_extents}
     2386    0.004    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2276(__init__)
     9168    0.009    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:2059(closeto)
    48388    0.010    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2216(<genexpr>)
    16188    0.006    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1706(__array__)
    90581    0.010    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:786(get_stretch)
     6335    0.008    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/markers.py:243(__bool__)
     5148    0.005    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:842(set_variant)
     4584    0.004    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/function_base.py:2140(<listcomp>)
    35260    0.010    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1691(<lambda>)
     6429    0.006    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:256(<listcomp>)
    57652    0.010    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/figure.py:435(_get_dpi)
     7478    0.006    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/function_base.py:244(iterable)
