ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.865    0.043 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:550(set_cursor)
     3566    0.026    0.000    0.851    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/patches.py:575(draw)
     4584    0.015    0.000    0.823    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:2274(__call__)
      605    0.004    0.000    0.812    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2321(_get_tick_boxes_siblings)
     4584    0.016    0.000    0.739    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:2278(tick_values)
      541    0.004    0.000    0.732    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2029(_get_tick_boxes_siblings)
     4584    0.015    0.000    0.702    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:775(set_locs)
     4584    0.129    0.000    0.661    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:2214(_raw_ticks)
        1    0.000    0.000    0.655    0.655 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:2299(destroy)
    251/1    0.001    0.000    0.651    0.651 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:2572(destroy)
     1146    0.020    0.000    0.579    0.001 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/path.py:572(get_extents)
     2772    0.001    0.000    0.541    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:216(filter_destroy)
    21364    0.056    0.000    0.536    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1399(transform)
    46264    0.045    0.000    0.484    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/posixpath.py:372(abspath)
   280534    0.481    0.000    0.481    0.000 {built-in method numpy.array}
     2292    0.019    0.000    0.471    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1285(get_minorticklocs)
     3502    0.008    0.000    0.456    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:131(draw_path)
     4584    0.008    0.000    0.451    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:247(format_ticks)
     3502    0.434    0.000    0.445    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2292    0.004    0.000    0.439    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1281(get_majorticklocs)
     1696    0.019    0.000    0.426    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:658(union)
     6429    0.094    0.000    0.422    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/lines.py:650(recache)
     4584    0.095    0.000    0.397    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:860(_set_format)
     2420    0.006    0.000    0.392    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/spines.py:348(draw)
   125811    0.382    0.000    0.382    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    46264    0.229    0.000    0.375    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/posixpath.py:334(normpath)
     8022    0.375    0.000    0.375    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     2292    0.005    0.000    0.356    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1093(<listcomp>)
    39733    0.037    0.000    0.349    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
   267500    0.091    0.000    0.319    0.000 {built-in method builtins.getattr}
     2292    0.033    0.000    0.318    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/bezier.py:273(axis_aligned_extrema)
    21364    0.022    0.000    0.304    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2342(transform_affine)
    89855    0.182    0.000    0.289    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:736(__hash__)
23643/22447    0.071    0.000    0.257    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2366(get_affine)
    18345    0.016    0.000    0.252    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1941(getter)
156766/90043    0.059    0.000    0.248    0.000 {built-in method builtins.hash}
277534/172406    0.144    0.000    0.248    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:213(stale)
    54289    0.068    0.000    0.247    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
   693960    0.150    0.000    0.244    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/posixpath.py:41(_get_sep)
    21235    0.049    0.000    0.228    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:832(get_prop_tup)
   124406    0.040    0.000    0.222    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_asarray.py:14(asarray)
      541    0.007    0.000    0.217    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:412(get_renderer)
    14521    0.035    0.000    0.216    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
    20775    0.016    0.000    0.213    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axes/_base.py:654(viewLim)
     9937    0.017    0.000    0.210    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:815(from_extents)
  1153189    0.186    0.000    0.210    0.000 {built-in method builtins.isinstance}
21380/21361    0.044    0.000    0.208    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axes/_base.py:640(_unstale_viewLim)
    27202    0.074    0.000    0.206    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:766(__init__)
   349014    0.153    0.000    0.206    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/__init__.py:686(__getitem__)
    17859    0.013    0.000    0.200    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:659(new_gc)
   786488    0.194    0.000    0.194    0.000 {method 'startswith' of 'str' objects}
     8839    0.011    0.000    0.194    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:806(from_bounds)
    17859    0.065    0.000    0.187    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:736(__init__)
      531    0.001    0.000    0.185    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:294(clear)
     8022    0.170    0.000    0.184    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      531    0.184    0.000    0.184    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    13213    0.095    0.000    0.182    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:633(translated)
     6335    0.151    0.000    0.176    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    44886    0.035    0.000    0.174    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/colors.py:161(to_rgba)
    25601    0.015    0.000    0.173    0.000 <__array_function__ internals>:2(amin)
     2292    0.040    0.000    0.172    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/bezier.py:237(polynomial_coefficients)
    42886    0.019    0.000    0.171    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1715(transform)
     4584    0.048    0.000    0.169    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:784(_compute_offset)
     4584    0.005    0.000    0.167    0.000 <__array_function__ internals>:2(clip)
    18336    0.012    0.000    0.164    0.000 <__array_function__ internals>:2(round_)
     2292    0.003    0.000    0.164    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1375(get_major_ticks)
    26588    0.015    0.000    0.164    0.000 <__array_function__ internals>:2(amax)
    45464    0.054    0.000    0.157    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1832(__init__)
     4584    0.007    0.000    0.156    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2033(clip)
    44032    0.046    0.000    0.154    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1794(transform_affine)
      541    0.001    0.000    0.154    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:4063(blank)
     8653    0.010    0.000    0.154    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1937(rotate_deg)
